alias,cluster_index,cluster_name
Organism,21,Protein Complexes & Molecular Interactions
Protein complex,21,Protein Complexes & Molecular Interactions
Amino acid sequence,22,Genetic Engineering Tools & Expression Systems
Protein-protein interaction,21,Protein Complexes & Molecular Interactions
Protein sequence,21,Protein Complexes & Molecular Interactions
Bacterium,11,Microbial & Algal Bioprocessing
Genome,21,Protein Complexes & Molecular Interactions
Genome sequence,2,Genomics & Genetic Engineering
Ribosomal RNA (rRNA),12,Microbial Genetics & Synthetic Biology
tRNA gene,2,Genomics & Genetic Engineering
Electrocatalyst,7,Heterogeneous Catalysis & Materials
Hydrogen (H2),7,Heterogeneous Catalysis & Materials
Fuel cell,7,Heterogeneous Catalysis & Materials
Orthologous gene,2,Genomics & Genetic Engineering
Cellulose,10,Biorefinery Feedstocks & Biomass Processing
Pharmaceutical,10,Biorefinery Feedstocks & Biomass Processing
Secondary structure element,21,Protein Complexes & Molecular Interactions
Plasmid,12,Microbial Genetics & Synthetic Biology
Human protein,2,Genomics & Genetic Engineering
Carbohydrate,18,Biochemicals & Green Chemistry
Carbohydrate,13,Industrial Chemistry & Chemical Engineering
Carbohydrate-active enzyme (CAZy),2,Genomics & Genetic Engineering
Carbohydrate-active enzyme (CAZyme),2,Genomics & Genetic Engineering
Alcohol,18,Biochemicals & Green Chemistry
Alcohol,7,Heterogeneous Catalysis & Materials
Feedstock,18,Biochemicals & Green Chemistry
Volatile compound,7,Heterogeneous Catalysis & Materials
Ethanol (C2H5OH),14,Agricultural Residues & Biomass Valorization
Gasoline,17,"Renewable Fuels, Policy & Emissions (SAF, RFS, etc.)"
Quaternary structure,2,Genomics & Genetic Engineering
Interface,7,Heterogeneous Catalysis & Materials
Arabidopsis thaliana,4,Plant Cell Wall Enzymes & Carbohydrate Processing
Caenorhabditis elegans (C. elegans),2,Genomics & Genetic Engineering
Drosophila melanogaster,21,Protein Complexes & Molecular Interactions
Mus musculus (mouse),21,Protein Complexes & Molecular Interactions
Saccharomyces cerevisiae,12,Microbial Genetics & Synthetic Biology
Yeast,12,Microbial Genetics & Synthetic Biology
Lignocellulose,10,Biorefinery Feedstocks & Biomass Processing
Plant cell wall,10,Biorefinery Feedstocks & Biomass Processing
Sugar,18,Biochemicals & Green Chemistry
Genome annotation,21,Protein Complexes & Molecular Interactions
Active pharmaceutical ingredient (API),2,Genomics & Genetic Engineering
Protein family,2,Genomics & Genetic Engineering
Deoxyribonucleic acid (DNA),2,Genomics & Genetic Engineering
Gene product,2,Genomics & Genetic Engineering
Biobased chemical,18,Biochemicals & Green Chemistry
Biobased product,18,Biochemicals & Green Chemistry
Biorefinery,10,Biorefinery Feedstocks & Biomass Processing
Photosystem II (PSII),29,Photosynthetic Pigments & Plant/Algal Physiology
Alga,14,Agricultural Residues & Biomass Valorization
Aromatic compound,27,Metabolic Engineering & Synthetic Biology
Hydrocarbon,18,Biochemicals & Green Chemistry
Lignin,18,Biochemicals & Green Chemistry
Polymer,13,Industrial Chemistry & Chemical Engineering
Copper (Cu),5,Electrocatalysis & CO2 Conversion
Ethylene (C2H4),1,Inorganic Chemistry & Small Molecule Catalysis
Inorganic carbon,12,Microbial Genetics & Synthetic Biology
Co-product,10,Biorefinery Feedstocks & Biomass Processing
Genetic variant,12,Microbial Genetics & Synthetic Biology
Plastic,18,Biochemicals & Green Chemistry
Value-added product,10,Biorefinery Feedstocks & Biomass Processing
Ammonia (NH3),13,Industrial Chemistry & Chemical Engineering
Fatty acid,27,Metabolic Engineering & Synthetic Biology
Microalga,10,Biorefinery Feedstocks & Biomass Processing
Cellular lipid,27,Metabolic Engineering & Synthetic Biology
Chloroplast,6,Eukaryotic Cell Biology & Organelles
Lipid,12,Microbial Genetics & Synthetic Biology
Oil,10,Biorefinery Feedstocks & Biomass Processing
Triacylglycerol,19,Lipid Metabolism & Fatty Acid Synthesis
Acetyl-CoA carboxylase (ACC),22,Genetic Engineering Tools & Expression Systems
Algal cell,10,Biorefinery Feedstocks & Biomass Processing
Protein domain,21,Protein Complexes & Molecular Interactions
Chromosome,22,Genetic Engineering Tools & Expression Systems
Eukaryotic genome,2,Genomics & Genetic Engineering
Virus,16,Marine & Algal Natural Products
Metabolite,2,Genomics & Genetic Engineering
